Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,10674,001,Lecture(3),Open,1 / 20
10674,001,Lecture(3),Open,1 / 20,To Be Announced
10674,001,Lecture(3),Open,1 / 20,To Be Announced
,10535,001,Lecture(4),Permission,0 / 20
10535,001,Lecture(4),Permission,0 / 20,Shirin Provat
10535,001,Lecture(4),Permission,0 / 20,Shirin Provat
,12203,001,Lecture(4),Open,8 / 30
12203,001,Lecture(4),Open,8 / 30,Asif Mahmood
12203,001,Lecture(4),Open,8 / 30,Asif Mahmood
12205,002,Lecture(4),Open,10 / 30,Asif Mahmood
12204,003,Lecture(4),Open,3 / 30,Nethali Fernando
,12206,001,Lecture(4),Closed,30 / 30
12206,001,Lecture(4),Closed,30 / 30,Diana Morris
12206,001,Lecture(4),Closed,30 / 30,Diana Morris
,10035,001,Lecture(3),Open,6 / 30
10035,001,Lecture(3),Open,6 / 30,James Lark
10035,001,Lecture(3),Open,6 / 30,James Lark
,10622,001,Lecture(3),Open,3 / 30
10622,001,Lecture(3),Open,3 / 30,Christian Hellings
10622,001,Lecture(3),Open,3 / 30,Christian Hellings
12207,002,Lecture(3),Open,5 / 30,Megan Ryals
,10623,001,Lecture(3),Open,13 / 30
10623,001,Lecture(3),Open,13 / 30,Deepyaman Maiti
10623,001,Lecture(3),Open,13 / 30,Deepyaman Maiti
,10038,001,Lecture(3),Open,2 / 30
10038,001,Lecture(3),Open,2 / 30,James Lark
10038,001,Lecture(3),Open,2 / 30,James Lark
,12218,001,Lecture(3),Open,21 / 30
12218,001,Lecture(3),Open,21 / 30,Julie Spencer
12218,001,Lecture(3),Open,21 / 30,Julie Spencer
,12219,001,Lecture(3),Open,2 / 30
12219,001,Lecture(3),Open,2 / 30,Heze Chen
12219,001,Lecture(3),Open,2 / 30,Heze Chen
12220,002,Lecture(3),Open,3 / 30,Heze Chen
