Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,Fall 202415936,001,Lecture(3 Units),Open,158 / 200
Fall 202415936,001,Lecture(3 Units),Open,158 / 200,Arohi Khargonkar
Fall 202415936,001,Lecture(3 Units),Open,158 / 200,Arohi Khargonkar
Fall 202416112,002,Lecture(3 Units),Open,238 / 250,Arohi Khargonkar
Fall 202415592,101,Laboratory(0 Units),Open,79 / 85,Arohi Khargonkar
Fall 202415594,102,Laboratory(0 Units),Open,65 / 85,Arohi Khargonkar
Fall 202415595,103,Laboratory(0 Units),Open,79 / 85,Arohi Khargonkar
Fall 202415593,104,Laboratory(0 Units),Open,81 / 85,Arohi Khargonkar
Fall 202415905,105,Laboratory(0 Units),Open,65 / 85,Arohi Khargonkar
Fall 202416113,106,Laboratory(0 Units),Open,19 / 85,Arohi Khargonkar
Fall 202416114,107,Laboratory(0 Units),Open,8 / 85,Arohi Khargonkar
,Fall 202416078,001,Lecture(3 Units),Open,78 / 90
Fall 202416078,001,Lecture(3 Units),Open,78 / 90,Arohi Khargonkar+1
Fall 202416078,001,Lecture(3 Units),Open,78 / 90,Arohi Khargonkar+1
,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,Fall 202415596,001,Lecture(3 Units)
,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,Fall 202415596,001,Lecture(3 Units),Closed
Fall 202415596,001,Lecture(3 Units),Closed,89 / 85,Nada Basit
Fall 202416929,002,Lecture(3 Units),Closed,88 / 85,Nada Basit
,,Note that his class is PHYS1655 (it is cross listed as CS1113).,Syllabus20568,001,Lecture(3 Units)
,Note that his class is PHYS1655 (it is cross listed as CS1113).,Syllabus20568,001,Lecture(3 Units),Open
Syllabus20568,001,Lecture(3 Units),Open,24 / 40,Robert Group
,,Bot Basics: Examining Automata,,Student run course,Fall 202420629
,Bot Basics: Examining Automata,,Student run course,Fall 202420629,001
Fall 202420629,001,Lecture(1 Units),Open,15 / 20,Briana Morrison
Fall 202420630,002,Lecture(1 Units),Open,13 / 20,Breenice Lee
,Fall 202416771,001,Lecture(4 Units),Open,262 / 450
Fall 202416771,001,Lecture(4 Units),Open,262 / 450,Briana Morrison
Fall 202416771,001,Lecture(4 Units),Open,262 / 450,Briana Morrison
Fall 202416772,002,Lecture(4 Units),Open,139 / 145,Shivani Datar
Fall 202416774,101,Laboratory(0 Units),Open,83 / 90,Briana Morrison
Fall 202416775,102,Laboratory(0 Units),Open,73 / 150,Briana Morrison
Fall 202416776,103,Laboratory(0 Units),Open,128 / 150,Briana Morrison
Fall 202416777,104,Laboratory(0 Units),Open,70 / 90,Briana Morrison
Fall 202416778,105,Laboratory(0 Units),Open,47 / 150,Briana Morrison
,Fall 202416655,001,Lecture(3 Units),Open,144 / 145
Fall 202416655,001,Lecture(3 Units),Open,144 / 145,Tom Horton
Fall 202416655,001,Lecture(3 Units),Open,144 / 145,Tom Horton
Fall 202416656,002,Lecture(3 Units),Open,116 / 130,Kevin Sullivan
Fall 202416657,003,Lecture(3 Units),Open,144 / 145,Tom Horton
Fall 202421004,004,Lecture(3 Units),Open,47 / 60,Rohan Chandra
,Fall 202416808,001,Lecture(4 Units),Open,223 / 300
Fall 202416808,001,Lecture(4 Units),Open,223 / 300,Daniel Graham
Fall 202416808,001,Lecture(4 Units),Open,223 / 300,Daniel Graham
