Class Number,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,Enrollment Limit,Waitlist
,,,15936,001,,158 / 200,Arohi Khargonkar,MoWeFr 2:00pm - 2:50pm,,,Lecture (3),,,
15936,,,001,Lecture,3,Arohi Khargonkar,MoWeFr 2:00pm - 2:50pm,Minor Hall 125,,,Open,158,200,
15936,,,001,Lecture,3,Arohi Khargonkar,MoWeFr 2:00pm - 2:50pm,Minor Hall 125,,,Open,158,200,
16112,,,002,Lecture,3,Arohi Khargonkar,MoWeFr 12:00pm - 12:50pm,Gilmer Hall 301,,,Open,238,250,
15592,,,101,Laboratory,0,Arohi Khargonkar,Th 12:30pm - 1:45pm,Olsson Hall 018,,,Open,79,85,
15594,,,102,Laboratory,0,Arohi Khargonkar,Th 9:30am - 10:45am,Olsson Hall 018,,,Open,65,85,
15595,,,103,Laboratory,0,Arohi Khargonkar,Th 11:00am - 12:15pm,Olsson Hall 018,,,Open,79,85,
15593,,,104,Laboratory,0,Arohi Khargonkar,Th 2:00pm - 3:15pm,Olsson Hall 018,,,Open,81,85,
15905,,,105,Laboratory,0,Arohi Khargonkar,Th 3:30pm - 4:45pm,Olsson Hall 018,,,Open,65,85,
16113,,,106,Laboratory,0,Arohi Khargonkar,Th 5:00pm - 6:15pm,Olsson Hall 018,,,Open,19,85,
16114,,,107,Laboratory,0,Arohi Khargonkar,Th 6:30pm - 7:45pm,Olsson Hall 018,,,Open,8,85,
,,,16078,001,,78 / 90,Arohi Khargonkar+1,MoWe 3:30pm - 4:45pm,,,Lecture (3),,,
16078,,,001,Lecture,3,Arohi Khargonkar+1,MoWe 3:30pm - 4:45pm,Thornton Hall E316,,,Open,78,90,
16078,,,001,Lecture,3,Arohi Khargonkar+1,MoWe 3:30pm - 4:45pm,Thornton Hall E316,,,Open,78,90,
,,,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,,Lecture (3),Closed,89 / 85,,,15596,,,
,,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,15596,,Closed,89 / 85,Nada Basit,,,001,,,
15596,,,001,Lecture,3,Nada Basit,MoWeFr 12:30pm - 1:45pm,Olsson Hall 018,,,Closed,89,85,
16929,,,002,Lecture,3,Nada Basit,MoWeFr 2:00pm - 3:15pm,Olsson Hall 018,,,Closed,88,85,
,,,,Note that his class is PHYS1655,it is cross listed as CS1113),Lecture (3),Open,24 / 40,,,20568,,,
,,,Note that his class is PHYS1655 (it is cross listed as CS1113).,20568,,Open,24 / 40,Robert Group,,,001,,,
20568,,,001,Lecture,3,Robert Group,MoWe 3:30pm - 4:45pm,Physics Bldg 238,,,Open,24,40,
,,,,Bot Basics: Examining Automata,,20629,001,Lecture (1),,,,,,
,,,Bot Basics: Examining Automata,,,001,Lecture (1),Open,,,Student run course,,,
20629,,,001,Lecture,1,Briana Morrison,We 1:00pm - 1:50pm,Mechanical Engineering 206,,,Open,15,20,
20630,,,002,Lecture,1,Breenice Lee,Tu 11:00am - 11:50am,Mechanical Engr Bldg 215,,,Open,13,20,
,,,16771,001,,262 / 450,Briana Morrison,MoWeFr 12:00pm - 12:50pm,,,Lecture (4),,,
16771,,,001,Lecture,4,Briana Morrison,MoWeFr 12:00pm - 12:50pm,Chemistry Bldg 402,,,Open,262,450,
16771,,,001,Lecture,4,Briana Morrison,MoWeFr 12:00pm - 12:50pm,Chemistry Bldg 402,,,Open,262,450,
16772,,,002,Lecture,4,Shivani Datar,MoWeFr 2:00pm - 2:50pm,Rice Hall 130,,,Open,139,145,
16774,,,101,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Olsson Hall 018,,,Open,83,90,
16775,,,102,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Mechanical Engr Bldg 205,,,Open,73,150,
16776,,,103,Laboratory,0,Briana Morrison,Mo 3:30pm - 5:15pm,Rice Hall 130,,,Open,128,150,
16777,,,104,Laboratory,0,Briana Morrison,Mo 5:30pm - 7:15pm,Olsson Hall 018,,,Open,70,90,
16778,,,105,Laboratory,0,Briana Morrison,Mo 5:30pm - 7:15pm,Rice Hall 130,,,Open,47,150,
,,,16655,001,,144 / 145,Tom Horton,MoWeFr 10:00am - 10:50am,,,Lecture (3),,,
16655,,,001,Lecture,3,Tom Horton,MoWeFr 10:00am - 10:50am,Rice Hall 130,,,Open,144,145,
16655,,,001,Lecture,3,Tom Horton,MoWeFr 10:00am - 10:50am,Rice Hall 130,,,Open,144,145,
16656,,,002,Lecture,3,Kevin Sullivan,TuTh 2:00pm - 3:15pm,Olsson Hall 120,,,Open,116,130,
16657,,,003,Lecture,3,Tom Horton,MoWeFr 11:00am - 11:50am,Rice Hall 130,,,Open,144,145,
21004,,,004,Lecture,3,Rohan Chandra,MoWe 11:00am - 12:15pm,Olsson Hall 018,,,Open,47,60,
,,,16808,001,,223 / 300,Daniel Graham,MoWeFr 1:00pm - 1:50pm,,,Lecture (4),,,
16808,,,001,Lecture,4,Daniel Graham,MoWeFr 1:00pm - 1:50pm,Gilmer Hall 301,,,Open,223,300,
16808,,,001,Lecture,4,Daniel Graham,MoWeFr 1:00pm - 1:50pm,Gilmer Hall 301,,,Open,223,300,
16809,,,002,Lecture,4,Todd Delong,MoWeFr 9:00am - 9:50am,Olsson Hall 120,,,Open,112,140,
19536,,,003,Lecture,4,Todd Delong,MoWeFr 1:00pm - 1:50pm,Rice Hall 130,,,Open,133,145,
16810,,,101,Laboratory,0,Daniel Graham,Tu 9:30am - 10:45am,Olsson Hall 018,,,Open,54,88,
16811,,,102,Laboratory,0,Daniel Graham,Tu 11:00am - 12:15pm,Olsson Hall 018,,,Open,87,88,
16812,,,103,Laboratory,0,Daniel Graham,Tu 12:30pm - 1:45pm,Olsson Hall 018,,,Open,83,88,
16813,,,104,Laboratory,0,Daniel Graham,Tu 2:00pm - 3:15pm,Olsson Hall 018,,,Open,85,88,
16814,,,105,Laboratory,0,Daniel Graham,Tu 3:30pm - 4:45pm,Olsson Hall 018,,,Open,78,88,
16815,,,106,Laboratory,0,Daniel Graham,Tu 5:00pm - 6:15pm,Olsson Hall 018,,,Open,74,88,
16930,,,107,Laboratory,0,Daniel Graham,Tu 6:30pm - 7:45pm,Olsson Hall 018,,,Open,7,88,
,,,16153,001,,107 / 130,Nada Basit+1,TBA,,,PRA (1),,,
16153,,,001,PRA,1,Nada Basit+1,TBA,TBA,,,Permission,107,130,
16153,,,001,PRA,1,Nada Basit+1,TBA,TBA,,,Permission,107,130,
,,,21421,001,,1 / 30,Mark Sherriff,TBA,,,IND (1 - 3),,,
21421,,,001,IND,1 - 3,Mark Sherriff,TBA,TBA,,,Permission,1,30,
21421,,,001,IND,1 - 3,Mark Sherriff,TBA,TBA,,,Permission,1,30,
,,,16805,001,,160 / 168,Aaron Bloomfield,TuTh 11:00am - 12:15pm,,,Lecture (3),,,
16805,,,001,Lecture,3,Aaron Bloomfield,TuTh 11:00am - 12:15pm,Rice Hall 130,,,Open,160,168,
16805,,,001,Lecture,3,Aaron Bloomfield,TuTh 11:00am - 12:15pm,Rice Hall 130,,,Open,160,168,
16806,,,002,Lecture,3,Aaron Bloomfield+1,TuTh 9:30am - 10:45am,Nau Hall 101,,,Open,180,220,
,,,17014,001,,215 / 330,Mark Floryan,TuTh 12:30pm - 1:45pm,,,Lecture (3),,,
17014,,,001,Lecture,3,Mark Floryan,TuTh 12:30pm - 1:45pm,Gilmer Hall 301,,,Open,215,330,
17014,,,001,Lecture,3,Mark Floryan,TuTh 12:30pm - 1:45pm,Gilmer Hall 301,,,Open,215,330,
19537,,,002,Lecture,3,Mark Floryan,TuTh 9:30am - 10:45am,Mechanical Engr Bldg 205,,,Open,139,148,
,,,16931,001,,249 / 294,Charles Reiss,TuTh 2:00pm - 3:15pm,,,Lecture (4),,,
16931,,,001,Lecture,4,Charles Reiss,TuTh 2:00pm - 3:15pm,John W. Warner Hall 209,,,Open,249,294,
16931,,,001,Lecture,4,Charles Reiss,TuTh 2:00pm - 3:15pm,John W. Warner Hall 209,,,Open,249,294,
19538,,,002,Lecture,4,Kevin Skadron,TuTh 12:30pm - 1:45pm,Rice Hall 130,,,Closed,159,150,
16932,,,101,Laboratory,0,Charles Reiss,We 3:30pm - 4:45pm,Olsson Hall 018,,,Open,87,90,
16933,,,102,Laboratory,0,Charles Reiss,We 3:30pm - 4:45pm,Rice Hall 130,,,Open,149,150,
16934,,,103,Laboratory,0,Charles Reiss,We 5:00pm - 6:15pm,Olsson Hall 018,,,Open,63,90,
16935,,,104,Laboratory,0,Charles Reiss,We 5:00pm - 6:15pm,Rice Hall 130,,,Open,89,150,
16936,,,105,Laboratory,0,Charles Reiss,We 6:30pm - 7:45pm,Olsson Hall 018,,,Open,20,90,
,,,16780,001,,380 / 370,Paul McBurney,TuTh 2:00pm - 3:15pm,,,Lecture (3),,,
16780,,,001,Lecture,3,Paul McBurney,TuTh 2:00pm - 3:15pm,McLeod Hall 1020,,,Closed,380,370,
16780,,,001,Lecture,3,Paul McBurney,TuTh 2:00pm - 3:15pm,McLeod Hall 1020,,,Closed,380,370,
19539,,,002,Lecture,3,Derrick Stone,TuTh 3:30pm - 4:45pm,Olsson Hall 120,,,Closed,141,140,
,,,21143,001,,80 / 80,Briana Morrison,MoWeFr 11:00am - 11:50am,,,Lecture (3),,,
21143,,,001,Lecture,3,Briana Morrison,MoWeFr 11:00am - 11:50am,Thornton Hall E316,,,Permission,80,80,
21143,,,001,Lecture,3,Briana Morrison,MoWeFr 11:00am - 11:50am,Thornton Hall E316,,,Permission,80,80,
,,,,"Course title has changed, but same course as before!",,Lecture (3),Open,141 / 150,,,15928,,,
,,,"Course title has changed, but same course as before!",15928,,Open,141 / 150,Tom Horton,,,001,,,
15928,,,001,Lecture,3,Tom Horton,TuTh 2:00pm - 3:15pm,Rice Hall 130,,,Open,141,150,
16807,,,002,Lecture,3,Mark Sherriff,TuTh 9:30am - 10:45am,Rice Hall 130,,,Open,91,150,
15953,,,101,Laboratory,0,Mark Sherriff,TBA,TBA,,,Open,232,300,
,,,16386,001,,142 / 140,Angela Orebaugh,MoWeFr 10:00am - 10:50am,,,Lecture (3),,,
16386,,,001,Lecture,3,Angela Orebaugh,MoWeFr 10:00am - 10:50am,Olsson Hall 120,,,Closed,142,140,
16386,,,001,Lecture,3,Angela Orebaugh,MoWeFr 10:00am - 10:50am,Olsson Hall 120,,,Closed,142,140,
16556,,,002,Lecture,3,Angela Orebaugh,MoWeFr 11:00am - 11:50am,Olsson Hall 120,,,Open,139,140,
16937,,,003,Lecture,3,Tianhao Wang,MoWeFr 1:00pm - 1:50pm,Olsson Hall 120,,,Open,138,140,
21135,,,004,Lecture,3,Aaron Bloomfield,TuTh 9:30am - 10:45am,Thornton Hall E316,,,Open,27,80,
,,,17096,001,,80 / 90,Derrick Stone,TuTh 2:00pm - 3:15pm,,,Lecture (3),,,
17096,,,001,Lecture,3,Derrick Stone,TuTh 2:00pm - 3:15pm,Thornton Hall E316,,,Open,80,90,
17096,,,001,Lecture,3,Derrick Stone,TuTh 2:00pm - 3:15pm,Thornton Hall E316,,,Open,80,90,
,,,17012,001,,3 / 11,Homa Alemzadeh,MoWe 9:30am - 10:45am,,,Lecture (3),,,
17012,,,001,Lecture,3,Homa Alemzadeh,MoWe 9:30am - 10:45am,Thornton Hall D115,,,Open,3,11,
17012,,,001,Lecture,3,Homa Alemzadeh,MoWe 9:30am - 10:45am,Thornton Hall D115,,,Open,3,11,
,,,19540,001,,54 / 80,Charles Reiss,TuTh 9:30am - 10:45am,,,Lecture (3),,,
