Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,15936,001,Lecture(3),Open,158 / 200
15936,001,Lecture(3),Open,158 / 200,Arohi Khargonkar
15936,001,Lecture(3),Open,158 / 200,Arohi Khargonkar
16112,002,Lecture(3),Open,238 / 250,Arohi Khargonkar
15592,101,Laboratory(0),Open,79 / 85,Arohi Khargonkar
15594,102,Laboratory(0),Open,65 / 85,Arohi Khargonkar
15595,103,Laboratory(0),Open,79 / 85,Arohi Khargonkar
15593,104,Laboratory(0),Open,81 / 85,Arohi Khargonkar
15905,105,Laboratory(0),Open,65 / 85,Arohi Khargonkar
16113,106,Laboratory(0),Open,19 / 85,Arohi Khargonkar
16114,107,Laboratory(0),Open,8 / 85,Arohi Khargonkar
,16078,001,Lecture(3),Open,78 / 90
16078,001,Lecture(3),Open,78 / 90,Arohi Khargonkar+1
16078,001,Lecture(3),Open,78 / 90,Arohi Khargonkar+1
,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,15596,001,Lecture(3)
,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,15596,001,Lecture(3),Closed
15596,001,Lecture(3),Closed,89 / 85,Nada Basit
16929,002,Lecture(3),Closed,88 / 85,Nada Basit
,,Note that his class is PHYS1655 (it is cross listed as CS1113).,20568,001,Lecture(3)
,Note that his class is PHYS1655 (it is cross listed as CS1113).,20568,001,Lecture(3),Open
20568,001,Lecture(3),Open,24 / 40,Robert Group
,,Bot Basics: Examining Automata,,Student run course,20629
,Bot Basics: Examining Automata,,Student run course,20629,001
20629,001,Lecture(1),Open,15 / 20,Briana Morrison
20630,002,Lecture(1),Open,13 / 20,Breenice Lee
,16771,001,Lecture(4),Open,262 / 450
16771,001,Lecture(4),Open,262 / 450,Briana Morrison
16771,001,Lecture(4),Open,262 / 450,Briana Morrison
16772,002,Lecture(4),Open,139 / 145,Shivani Datar
16774,101,Laboratory(0),Open,83 / 90,Briana Morrison
16775,102,Laboratory(0),Open,73 / 150,Briana Morrison
16776,103,Laboratory(0),Open,128 / 150,Briana Morrison
16777,104,Laboratory(0),Open,70 / 90,Briana Morrison
16778,105,Laboratory(0),Open,47 / 150,Briana Morrison
,16655,001,Lecture(3),Open,144 / 145
16655,001,Lecture(3),Open,144 / 145,Tom Horton
16655,001,Lecture(3),Open,144 / 145,Tom Horton
16656,002,Lecture(3),Open,116 / 130,Kevin Sullivan
16657,003,Lecture(3),Open,144 / 145,Tom Horton
21004,004,Lecture(3),Open,47 / 60,Rohan Chandra
,16808,001,Lecture(4),Open,223 / 300
16808,001,Lecture(4),Open,223 / 300,Daniel Graham
16808,001,Lecture(4),Open,223 / 300,Daniel Graham
16809,002,Lecture(4),Open,112 / 140,Todd Delong
19536,003,Lecture(4),Open,133 / 145,Todd Delong
16810,101,Laboratory(0),Open,54 / 88,Daniel Graham
16811,102,Laboratory(0),Open,87 / 88,Daniel Graham
16812,103,Laboratory(0),Open,83 / 88,Daniel Graham
16813,104,Laboratory(0),Open,85 / 88,Daniel Graham
16814,105,Laboratory(0),Open,78 / 88,Daniel Graham
16815,106,Laboratory(0),Open,74 / 88,Daniel Graham
16930,107,Laboratory(0),Open,7 / 88,Daniel Graham
,16153,001,PRA(1),Permission,107 / 130
16153,001,PRA(1),Permission,107 / 130,Nada Basit+1
16153,001,PRA(1),Permission,107 / 130,Nada Basit+1
,21421,001,IND(1 - 3),Permission,1 / 30
21421,001,IND(1 - 3),Permission,1 / 30,Mark Sherriff
21421,001,IND(1 - 3),Permission,1 / 30,Mark Sherriff
,16805,001,Lecture(3),Open,160 / 168
16805,001,Lecture(3),Open,160 / 168,Aaron Bloomfield
16805,001,Lecture(3),Open,160 / 168,Aaron Bloomfield
16806,002,Lecture(3),Open,180 / 220,Aaron Bloomfield+1
,17014,001,Lecture(3),Open,215 / 330
17014,001,Lecture(3),Open,215 / 330,Mark Floryan
17014,001,Lecture(3),Open,215 / 330,Mark Floryan
19537,002,Lecture(3),Open,139 / 148,Mark Floryan
,16931,001,Lecture(4),Open,249 / 294
16931,001,Lecture(4),Open,249 / 294,Charles Reiss
16931,001,Lecture(4),Open,249 / 294,Charles Reiss
19538,002,Lecture(4),Closed,159 / 150,Kevin Skadron
16932,101,Laboratory(0),Open,87 / 90,Charles Reiss
16933,102,Laboratory(0),Open,149 / 150,Charles Reiss
16934,103,Laboratory(0),Open,63 / 90,Charles Reiss
16935,104,Laboratory(0),Open,89 / 150,Charles Reiss
16936,105,Laboratory(0),Open,20 / 90,Charles Reiss
,16780,001,Lecture(3),Closed,380 / 370
16780,001,Lecture(3),Closed,380 / 370,Paul McBurney
16780,001,Lecture(3),Closed,380 / 370,Paul McBurney
19539,002,Lecture(3),Closed,141 / 140,Derrick Stone
,21143,001,Lecture(3),Permission,80 / 80
21143,001,Lecture(3),Permission,80 / 80,Briana Morrison
21143,001,Lecture(3),Permission,80 / 80,Briana Morrison
,,"Course title has changed, but same course as before!",15928,001,Lecture(3)
,"Course title has changed, but same course as before!",15928,001,Lecture(3),Open
15928,001,Lecture(3),Open,141 / 150,Tom Horton
16807,002,Lecture(3),Open,91 / 150,Mark Sherriff
15953,101,Laboratory(0),Open,232 / 300,Mark Sherriff
,16386,001,Lecture(3),Closed,142 / 140
16386,001,Lecture(3),Closed,142 / 140,Angela Orebaugh
16386,001,Lecture(3),Closed,142 / 140,Angela Orebaugh
16556,002,Lecture(3),Open,139 / 140,Angela Orebaugh
16937,003,Lecture(3),Open,138 / 140,Tianhao Wang
21135,004,Lecture(3),Open,27 / 80,Aaron Bloomfield
,17096,001,Lecture(3),Open,80 / 90
17096,001,Lecture(3),Open,80 / 90,Derrick Stone
17096,001,Lecture(3),Open,80 / 90,Derrick Stone
,17012,001,Lecture(3),Open,3 / 11
17012,001,Lecture(3),Open,3 / 11,Homa Alemzadeh
17012,001,Lecture(3),Open,3 / 11,Homa Alemzadeh
,19540,001,Lecture(3),Open,54 / 80
19540,001,Lecture(3),Open,54 / 80,Charles Reiss
19540,001,Lecture(3),Open,54 / 80,Charles Reiss
,,Privacy in the Internet Age,16389,001,Lecture(3)
,Privacy in the Internet Age,16389,001,Lecture(3),Open
16389,001,Lecture(3),Open,70 / 80,Yixin Sun
19542,002,Lecture(3),Open,61 / 80,Yu Meng
17050,003,Lecture(3),Closed,2 / 2,Brad Campbell+1
19543,004,Lecture(3),Open,69 / 80,Shangtong Zhang
16995,005,Lecture(3),Open,9 / 14,Miaomiao Zhang
16398,006,Lecture(3),Open,43 / 48,Madhur Behl
,19541,001,Lecture(3),Open,66 / 80
19541,001,Lecture(3),Open,66 / 80,Raymond Pettit
19541,001,Lecture(3),Open,66 / 80,Raymond Pettit
,16197,001,Lecture(3),Open,52 / 70
16197,001,Lecture(3),Open,52 / 70,Matthew Dwyer
16197,001,Lecture(3),Open,52 / 70,Matthew Dwyer
,16801,001,Lecture(3),Open,54 / 76
16801,001,Lecture(3),Open,54 / 76,Wajih Ul Hassan
16801,001,Lecture(3),Open,54 / 76,Wajih Ul Hassan
,16056,001,Lecture(3),Open,52 / 80
16056,001,Lecture(3),Open,52 / 80,Chen-Yu Wei
16056,001,Lecture(3),Open,52 / 80,Chen-Yu Wei
17090,002,Lecture(3),Open,118 / 120,Ferdinando Fioretto
,19544,001,Lecture(3),Closed,81 / 80
19544,001,Lecture(3),Closed,81 / 80,Mark Sherriff
19544,001,Lecture(3),Closed,81 / 80,Mark Sherriff
,19545,001,Lecture(3),Open,69 / 80
19545,001,Lecture(3),Open,69 / 80,Yue Cheng
19545,001,Lecture(3),Open,69 / 80,Yue Cheng
,16086,001,Lecture(3),Closed,138 / 120
16086,001,Lecture(3),Closed,138 / 120,Shivani Datar
16086,001,Lecture(3),Closed,138 / 120,Shivani Datar
,16388,001,Lecture(3),Open,222 / 240
16388,001,Lecture(3),Open,222 / 240,Rich Nguyen
16388,001,Lecture(3),Open,222 / 240,Rich Nguyen
,17081,001,IND(1 - 3),Permission,0 / 30
17081,001,IND(1 - 3),Permission,0 / 30,Panagiotis Apostolellis
17081,001,IND(1 - 3),Permission,0 / 30,Panagiotis Apostolellis
17069,002,IND(1 - 3),Permission,0 / 30,Kevin Sullivan
16466,003,IND(1 - 3),Permission,0 / 30,Seongkook Heo
16493,004,IND(1 - 3),Permission,0 / 30,Daniel Graham
16500,005,IND(1 - 3),Permission,1 / 30,Jack Davidson
16390,007,IND(1 - 3),Permission,0 / 30,Aidong Zhang
17058,008,IND(1 - 3),Permission,0 / 30,Briana Morrison
16836,009,IND(1 - 3),Permission,0 / 30,Yixin Sun
16516,010,IND(1 - 3),Permission,1 / 30,Rich Nguyen
15958,011,IND(1 - 3),Permission,0 / 30,David Evans
16540,012,IND(1 - 3),Permission,0 / 30,Madhav Marathe
16356,013,IND(1 - 3),Permission,0 / 30,Farzad Hassanzadeh
16783,014,IND(1 - 3),Permission,0 / 30,Rosanne Vrugtman
16751,015,IND(1 - 3),Permission,1 / 30,Felix Lin
16351,016,IND(1 - 3),Permission,2 / 30,Yangfeng Ji
16554,017,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
16759,018,IND(1 - 3),Permission,0 / 30,Raymond Pettit
16614,019,IND(1 - 3),Permission,0 / 30,Sebastian Elbaum
16272,020,IND(1 - 3),Permission,0 / 30,Madhur Behl
15959,021,IND(1 - 3),Permission,3 / 30,Mark Sherriff
15991,022,IND(1 - 3),Permission,1 / 30,Mark Floryan
15992,023,IND(1 - 3),Permission,0 / 30,Yanjun Qi
16617,024,IND(1 - 3),Permission,0 / 30,Robbie Hott
16313,025,IND(1 - 3),Permission,0 / 30,Homa Alemzadeh
16102,026,IND(1 - 3),Permission,3 / 30,Nada Basit
16675,027,IND(1 - 3),Permission,0 / 30,Ashish Venkat
16696,028,IND(1 - 3),Permission,0 / 30,Nicola Bezzo
16697,029,IND(1 - 3),Permission,0 / 30,Kristen Naegle
16314,030,IND(1 - 3),Permission,0 / 30,Jonathan Goodall
17241,031,IND(1 - 3),Permission,0 / 30,Jundong Li
16156,032,IND(1 - 3),Permission,1 / 30,Haiying Shen
16698,033,IND(1 - 3),Permission,1 / 30,Denis Nekipelov
16157,034,IND(1 - 3),Permission,0 / 30,Charles Reiss
16700,035,IND(1 - 3),Permission,0 / 30,Afsaneh Doryab
16745,037,IND(1 - 3),Permission,0 / 30,Paul McBurney
16213,038,IND(1 - 3),Permission,0 / 30,Lu Feng
16885,039,IND(1 - 3),Permission,0 / 30,Tianhao Wang
16899,040,IND(1 - 3),Permission,1 / 30,Geoffrey Fox
16699,041,IND(1 - 3),Permission,0 / 30,Tariq Iqbal
20647,042,IND(1 - 3),Permission,2 / 30,Kevin Skadron
20882,043,IND(1 - 3),Permission,2 / 30,Yen-Ling Kuo
21084,044,IND(1 - 3),Permission,2 / 30,Anil Vullikanti
21387,045,IND(1 - 3),Permission,2 / 30,Rohan Chandra
,16818,001,SEM(0),Open,54 / 60
16818,001,SEM(0),Open,54 / 60,Briana Morrison+1
16818,001,SEM(0),Open,54 / 60,Briana Morrison+1
16831,002,SEM(0),Open,32 / 60,Briana Morrison+1
,16402,001,IND(1 - 3),Permission,0 / 30
16402,001,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
16402,001,IND(1 - 3),Permission,0 / 30,Aaron Bloomfield
15672,002,IND(1 - 3),Permission,0 / 30,Mark Sherriff
15884,003,IND(1 - 3),Permission,0 / 30,Tom Horton
16391,004,IND(1 - 3),Permission,0 / 30,Aidong Zhang
16403,005,IND(1 - 3),Permission,0 / 30,Anil Vullikanti
16404,006,IND(1 - 3),Permission,0 / 30,Madhav Marathe
16701,007,IND(1 - 3),Permission,2 / 30,Nicola Bezzo
16916,008,IND(1 - 3),Permission,1 / 30,Raymond Pettit
15878,009,IND(1 - 3),Permission,0 / 30,David Evans
16451,010,IND(1 - 3),Permission,1 / 30,Robbie Hott
16452,011,IND(1 - 3),Permission,1 / 30,Panagiotis Apostolellis
16926,012,IND(1 - 3),Permission,2 / 30,Rich Nguyen
17070,013,IND(1 - 3),Permission,0 / 30,Paul McBurney
16455,014,IND(1 - 3),Permission,0 / 30,Seongkook Heo
16456,015,IND(1 - 3),Permission,0 / 30,Ashish Venkat
16494,016,IND(1 - 3),Permission,1 / 30,Daniel Graham
16501,017,IND(1 - 3),Permission,0 / 30,Jack Davidson
15986,018,IND(1 - 3),Permission,0 / 30,Yanjun Qi
16504,019,IND(1 - 3),Permission,0 / 30,Homa Alemzadeh
16518,020,IND(1 - 3),Permission,0 / 30,Madhur Behl
16519,021,IND(1 - 3),Permission,0 / 30,Brad Campbell
16016,022,IND(1 - 3),Permission,0 / 30,Mark Floryan
16914,023,IND(1 - 3),Permission,0 / 30,Briana Morrison
16065,024,IND(1 - 3),Permission,6 / 30,Nada Basit
17152,025,IND(1 - 3),Permission,0 / 30,Wei-Kai Lin
16702,026,IND(1 - 3),Permission,0 / 30,Kristen Naegle
16703,027,IND(1 - 3),Permission,0 / 30,Denis Nekipelov
16704,028,IND(1 - 3),Permission,0 / 30,Tariq Iqbal
16705,029,IND(1 - 3),Permission,0 / 30,Afsaneh Doryab
16733,031,IND(1 - 3),Permission,0 / 30,Yixin Sun
16120,032,IND(1 - 3),Permission,0 / 30,Samira Khan
16741,033,IND(1 - 3),Permission,2 / 30,Judy Fox
16159,034,IND(1 - 3),Permission,0 / 30,Haiying Shen
16761,035,IND(1 - 3),Permission,0 / 30,Yangfeng Ji
16762,036,IND(1 - 3),Permission,4 / 30,Jundong Li
16893,037,IND(1 - 3),Permission,1 / 30,Miaomiao Zhang
16907,038,IND(1 - 3),Permission,0 / 30,Tianhao Wang
16214,039,IND(1 - 3),Permission,1 / 30,Lu Feng
16913,040,IND(1 - 3),Permission,0 / 30,Felix Lin
16766,041,IND(1 - 3),Permission,2 / 30,Geoffrey Fox
16320,042,IND(1 - 3),Permission,0 / 30,Sebastian Elbaum
16829,043,IND(1 - 3),Permission,17 / 30,Mark Sherriff
16879,044,IND(1 - 3),Permission,4 / 30,Yue Cheng
16312,045,IND(1 - 3),Permission,0 / 30,Jonathan Goodall
16890,046,IND(1 - 3),Permission,0 / 30,Kevin Sullivan
20514,047,IND(1 - 3),Permission,1 / 30,Adwait Jog
20862,048,IND(1 - 3),Permission,1 / 30,Kevin Skadron
21142,049,IND(1 - 3),Permission,3 / 30,Hyojoon Kim
21234,050,IND(1 - 3),Permission,2 / 30,Yen-Ling Kuo
21257,051,IND(1 - 3),Permission,1 / 30,Shangtong Zhang
21377,052,IND(1 - 3),Permission,1 / 30,Chang Lou
21378,053,IND(1 - 3),Permission,3 / 30,Rohan Chandra
21411,054,IND(1 - 3),Permission,1 / 30,Scott Acton
21461,055,IND(1 - 3),Permission,1 / 30,Kenneth Bilchick+1
21500,056,IND(1 - 3),Permission,1 / 30,Kun Qian
,16413,001,IND(3),Permission,1 / 30
16413,001,IND(3),Permission,1 / 30,David Evans
16413,001,IND(3),Permission,1 / 30,David Evans
16842,002,IND(3),Permission,0 / 30,Panagiotis Apostolellis
16415,003,IND(3),Permission,0 / 30,Panagiotis Apostolellis+1
17248,004,IND(3),Permission,0 / 30,Brad Campbell
16457,005,IND(3),Permission,0 / 30,Robbie Hott
16458,006,IND(3),Permission,0 / 30,Daniel Graham
16900,007,IND(3),Permission,0 / 30,Kevin Skadron
17088,008,IND(3),Permission,2 / 30,Shangtong Zhang
16461,009,IND(3),Permission,0 / 30,Seongkook Heo
16462,010,IND(3),Permission,1 / 30,Sebastian Elbaum
16463,011,IND(3),Permission,1 / 30,Ashish Venkat
16505,012,IND(3),Permission,0 / 30,Homa Alemzadeh
16359,013,IND(3),Permission,0 / 30,Yanjun Qi
16290,014,IND(3),Permission,2 / 30,Mark Sherriff
16580,015,IND(3),Permission,0 / 30,Madhav Marathe
21241,016,IND(3),Permission,1 / 30,Ferdinando Fioretto
16659,017,IND(3),Permission,0 / 30,E Dukes
