Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,12247,001,Lecture(3),Open,2 / 30
12247,001,Lecture(3),Open,2 / 30,Derrick Stone
12247,001,Lecture(3),Open,2 / 30,Derrick Stone
,12019,001,Lecture(3),Open,19 / 20
12019,001,Lecture(3),Open,19 / 20,-
12019,001,Lecture(3),Open,19 / 20,-
,12248,001,Lecture(3),Open,17 / 24
12248,001,Lecture(3),Open,17 / 24,Rich Nguyen
12248,001,Lecture(3),Open,17 / 24,Rich Nguyen
,,Human-Centered Computing for Digital Well-Being,12252,001,Lecture(3)
,Human-Centered Computing for Digital Well-Being,12252,001,Lecture(3),Open
12252,001,Lecture(3),Open,16 / 30,Angela Orebaugh
,12461,001,Lecture(3),Open,21 / 30
12461,001,Lecture(3),Open,21 / 30,Raymond Pettit
12461,001,Lecture(3),Open,21 / 30,Raymond Pettit
,12255,001,Lecture(3),Open,21 / 30
12255,001,Lecture(3),Open,21 / 30,Daniel Graham
12255,001,Lecture(3),Open,21 / 30,Daniel Graham
12460,002,Lecture(3),Open,11 / 30,Daniel Graham
,12386,001,Lecture(3),Closed,25 / 25
12386,001,Lecture(3),Closed,25 / 25,Mary Smith
12386,001,Lecture(3),Closed,25 / 25,Mary Smith
,12256,001,Lecture(3),Open,19 / 30
12256,001,Lecture(3),Open,19 / 30,Daniel Graham
12256,001,Lecture(3),Open,19 / 30,Daniel Graham
,10636,001,IND(1 - 3),Permission,0 / 30
10636,001,IND(1 - 3),Permission,0 / 30,Nada Basit
10636,001,IND(1 - 3),Permission,0 / 30,Nada Basit
10671,002,IND(1 - 3),Permission,0 / 30,Caroline Crockett
,10220,001,IND(1),Permission,0 / 30
10220,001,IND(1),Permission,0 / 30,Kevin Skadron
10220,001,IND(1),Permission,0 / 30,Kevin Skadron
10235,002,IND(1),Permission,0 / 30,Farzad Hassanzadeh
12535,003,IND(1),Permission,0 / 30,Chen-Yu Wei
,10182,001,IND(1 - 12),Permission,0 / 30
10182,001,IND(1 - 12),Permission,0 / 30,Kevin Skadron
