Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,15015,001,Lecture(3),Open,0 / 250
15015,001,Lecture(3),Open,0 / 250,Arohi Khargonkar
15015,001,Lecture(3),Open,0 / 250,Arohi Khargonkar
15175,002,Lecture(3),Open,0 / 250,Arohi Khargonkar
14689,101,Laboratory(0),Open,0 / 85,Arohi Khargonkar
14691,102,Laboratory(0),Open,0 / 85,Arohi Khargonkar
14692,103,Laboratory(0),Open,0 / 85,Arohi Khargonkar
14690,104,Laboratory(0),Open,0 / 85,Arohi Khargonkar
14987,105,Laboratory(0),Open,0 / 85,Arohi Khargonkar
15176,106,Laboratory(0),Wait List (0 / 199),0 / 0,Arohi Khargonkar
,15146,001,Lecture(3),Open,0 / 90
15146,001,Lecture(3),Open,0 / 90,Panagiotis Apostolellis
15146,001,Lecture(3),Open,0 / 90,Panagiotis Apostolellis
,14693,001,Lecture(3),Open,0 / 85
14693,001,Lecture(3),Open,0 / 85,Nada Basit
14693,001,Lecture(3),Open,0 / 85,Nada Basit
15907,002,Lecture(3),Open,0 / 85,Nada Basit
,15765,001,Lecture(4),Open,0 / 300
15765,001,Lecture(4),Open,0 / 300,Briana Morrison
15765,001,Lecture(4),Open,0 / 300,Briana Morrison
15766,002,Lecture(4),Open,0 / 140,Briana Morrison
15767,101,Laboratory(0),Open,0 / 90,Briana Morrison
15769,102,Laboratory(0),Open,0 / 150,Briana Morrison
15770,103,Laboratory(0),Open,0 / 90,Briana Morrison
15771,104,Laboratory(0),Open,0 / 150,Briana Morrison
,15667,001,Lecture(3),Open,0 / 80
15667,001,Lecture(3),Open,0 / 80,Rohan Chandra
15667,001,Lecture(3),Open,0 / 80,Rohan Chandra
15668,002,Lecture(3),Open,0 / 140,Kevin Sullivan
15669,003,Lecture(3),Open,0 / 140,To Be Announced
,15793,001,Lecture(4),Open,0 / 300
15793,001,Lecture(4),Open,0 / 300,Robbie Hott
15793,001,Lecture(4),Open,0 / 300,Robbie Hott
15794,002,Lecture(4),Open,0 / 140,Robbie Hott
15795,101,Laboratory(0),Open,0 / 88,Robbie Hott
15796,102,Laboratory(0),Open,0 / 88,Robbie Hott
15797,103,Laboratory(0),Open,0 / 88,Robbie Hott
15798,104,Laboratory(0),Open,0 / 88,Robbie Hott
15799,105,Laboratory(0),Open,0 / 88,Robbie Hott
15800,106,Laboratory(0),Wait List (0 / 199),0 / 0,Robbie Hott
,,Preparing for Undergraduate Research,19600,001,Lecture(1)
,Preparing for Undergraduate Research,19600,001,Lecture(1),Open
19600,001,Lecture(1),Open,0 / 80,Briana Morrison
,15215,001,PRA(1),Permission,0 / 130
15215,001,PRA(1),Permission,0 / 130,Nada Basit+1
15215,001,PRA(1),Permission,0 / 130,Nada Basit+1
,15790,001,Lecture(3),Open,0 / 250
15790,001,Lecture(3),Open,0 / 250,Aaron Bloomfield
15790,001,Lecture(3),Open,0 / 250,Aaron Bloomfield
15791,002,Lecture(3),Open,0 / 150,Mark Floryan
,15961,001,Lecture(3),Open,0 / 148
15961,001,Lecture(3),Open,0 / 148,Mark Floryan
15961,001,Lecture(3),Open,0 / 148,Mark Floryan
16163,002,Lecture(3),Open,0 / 148,Raymond Pettit
,15909,001,Lecture(4),Open,0 / 250
15909,001,Lecture(4),Open,0 / 250,Charles Reiss
15909,001,Lecture(4),Open,0 / 250,Charles Reiss
16164,002,Lecture(4),Open,0 / 150,Kevin Skadron
15910,101,Laboratory(0),Open,0 / 90,Charles Reiss
15911,102,Laboratory(0),Open,0 / 150,Charles Reiss
15912,103,Laboratory(0),Open,0 / 90,Charles Reiss
15913,104,Laboratory(0),Open,0 / 150,Charles Reiss
,15772,001,Lecture(3),Open,0 / 300
15772,001,Lecture(3),Open,0 / 300,Rich Nguyen
15772,001,Lecture(3),Open,0 / 300,Rich Nguyen
16165,002,Lecture(3),Open,0 / 148,Rich Nguyen
,16370,001,Lecture(3),Open,0 / 80
16370,001,Lecture(3),Open,0 / 80,Panagiotis Apostolellis
16370,001,Lecture(3),Open,0 / 80,Panagiotis Apostolellis
,15008,001,Lecture(3),Open,0 / 145
15008,001,Lecture(3),Open,0 / 145,Mark Sherriff
15008,001,Lecture(3),Open,0 / 145,Mark Sherriff
15792,002,Lecture(3),Open,0 / 145,Derrick Stone
15031,101,Laboratory(0),Open,0 / 300,Mark Sherriff
,19601,001,Lecture(3),Open,0 / 90
19601,001,Lecture(3),Open,0 / 90,Upsorn Praphamontripong
19601,001,Lecture(3),Open,0 / 90,Upsorn Praphamontripong
,15428,001,Lecture(3),Open,0 / 148
15428,001,Lecture(3),Open,0 / 148,Angela Orebaugh
15428,001,Lecture(3),Open,0 / 148,Angela Orebaugh
15580,002,Lecture(3),Open,0 / 148,Angela Orebaugh
15915,003,Lecture(3),Open,0 / 150,Aaron Bloomfield
,16025,001,Lecture(3),Open,0 / 80
16025,001,Lecture(3),Open,0 / 80,Derrick Stone
16025,001,Lecture(3),Open,0 / 80,Derrick Stone
,19602,001,Lecture(3),Open,0 / 80
19602,001,Lecture(3),Open,0 / 80,Adwait Jog
19602,001,Lecture(3),Open,0 / 80,Adwait Jog
,16166,001,Lecture(3),Open,0 / 80
16166,001,Lecture(3),Open,0 / 80,Charles Reiss
16166,001,Lecture(3),Open,0 / 80,Charles Reiss
,,Smart and Healthy Buildings,15994,001,Lecture(3)
,Smart and Healthy Buildings,15994,001,Lecture(3),Open
15994,001,Lecture(3),Open,0 / 2,Arsalan Heydarian+1
15439,002,Lecture(3),Open,0 / 48,Madhur Behl
20056,004,Lecture(3),Open,0 / 76,Sebastian Elbaum
20315,005,Lecture(3),Open,0 / 30,David Evans
20358,006,Lecture(3),Open,0 / 25,Tom Fletcher
20362,007,Lecture(3),Open,0 / 15,Miaomiao Zhang
,16167,001,Lecture(3),Open,0 / 80
16167,001,Lecture(3),Open,0 / 80,Raymond Pettit
16167,001,Lecture(3),Open,0 / 80,Raymond Pettit
,15786,001,Lecture(3),Open,0 / 76
15786,001,Lecture(3),Open,0 / 76,Jack Davidson
15786,001,Lecture(3),Open,0 / 76,Jack Davidson
,15124,001,Lecture(3),Open,0 / 75
