Semester & Year (Course Identifyer),Session,Class Type,Open or Closed,Capacity,Professor
,14972,001,Lecture(3),Open,149 / 250
14972,001,Lecture(3),Open,149 / 250,Arohi Khargonkar
14972,001,Lecture(3),Open,149 / 250,Arohi Khargonkar
14980,002,Lecture(3),Open,151 / 250,Arohi Khargonkar
14973,100,Laboratory(0),Open,61 / 85,Arohi Khargonkar
14974,101,Laboratory(0),Open,72 / 85,Arohi Khargonkar
14975,102,Laboratory(0),Open,67 / 85,Arohi Khargonkar
14976,103,Laboratory(0),Open,66 / 85,Arohi Khargonkar
14977,104,Laboratory(0),Open,34 / 85,Arohi Khargonkar
,,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,16240,001,Lecture(3)
,Introduction to Python: ONLY for students who have had *no* programming experience in the past.,16240,001,Lecture(3),Closed
16240,001,Lecture(3),Closed,89 / 85,Nada Basit
16241,002,Lecture(3),Closed,90 / 85,Nada Basit
,,Note that his class is PHYS1655 (it is cross listed as CS1113).,21033,001,Lecture(3)
,Note that his class is PHYS1655 (it is cross listed as CS1113).,21033,001,Lecture(3),Permission
21033,001,Lecture(3),Permission,44 / 55,Cristina Mantilla Suarez
,15892,001,Lecture(4),Open,258 / 300
15892,001,Lecture(4),Open,258 / 300,Briana Morrison
15892,001,Lecture(4),Open,258 / 300,Briana Morrison
15893,002,Lecture(4),Open,87 / 150,Briana Morrison
15894,101,Laboratory(0),Open,118 / 125,Briana Morrison
15895,102,Laboratory(0),Open,73 / 150,Briana Morrison
15896,103,Laboratory(0),Open,40 / 150,Briana Morrison
15970,104,Laboratory(0),Open,114 / 125,Briana Morrison
,15954,001,Lecture(3),Closed,134 / 135
15954,001,Lecture(3),Closed,134 / 135,David Evans+1
15954,001,Lecture(3),Closed,134 / 135,David Evans+1
20643,003,Lecture(3),Open,128 / 135,David Evans
,15897,001,Lecture(4),Open,151 / 225
15897,001,Lecture(4),Open,151 / 225,Daniel Graham
15897,001,Lecture(4),Open,151 / 225,Daniel Graham
19554,002,Lecture(4),Open,167 / 225,Todd Delong
15898,101,Laboratory(0),Open,30 / 85,Daniel Graham
15899,102,Laboratory(0),Open,72 / 85,Daniel Graham
16058,103,Laboratory(0),Open,80 / 85,Daniel Graham
16059,104,Laboratory(0),Open,33 / 85,Daniel Graham
16060,105,Laboratory(0),Open,81 / 85,Daniel Graham
16061,106,Laboratory(0),Open,22 / 85,Daniel Graham
,,Preparing for Undergraduate Research,,Preparing for Undergraduate Research,21006
,Preparing for Undergraduate Research,,Preparing for Undergraduate Research,21006,001
21006,001,Lecture(1),Permission,70 / 80,Briana Morrison
,15650,001,PRA(1),Permission,59 / 120
15650,001,PRA(1),Permission,59 / 120,Nada Basit+1
15650,001,PRA(1),Permission,59 / 120,Nada Basit+1
,21272,001,IND(1 - 3),Permission,1 / 30
21272,001,IND(1 - 3),Permission,1 / 30,Mark Sherriff
21272,001,IND(1 - 3),Permission,1 / 30,Mark Sherriff
,16062,001,Lecture(3),Open,209 / 289
16062,001,Lecture(3),Open,209 / 289,Aaron Bloomfield
16062,001,Lecture(3),Open,209 / 289,Aaron Bloomfield
16063,002,Lecture(3),Open,140 / 145,Raymond Pettit
,16064,001,Lecture(3),Closed,189 / 190
16064,001,Lecture(3),Closed,189 / 190,Mark Floryan
16064,001,Lecture(3),Closed,189 / 190,Mark Floryan
19555,002,Lecture(3),Open,125 / 140,Wei-Kai Lin
,16065,001,Lecture(4),Open,232 / 240
16065,001,Lecture(4),Open,232 / 240,Charles Reiss
16065,001,Lecture(4),Open,232 / 240,Charles Reiss
19556,002,Lecture(4),Open,141 / 145,Brad Campbell
16066,101,Laboratory(0),Open,74 / 76,Charles Reiss
16067,102,Laboratory(0),Open,87 / 90,Charles Reiss
16068,103,Laboratory(0),Open,152 / 154,Charles Reiss
16069,104,Laboratory(0),Open,60 / 90,Charles Reiss
,16070,001,Lecture(3),Open,138 / 140
16070,001,Lecture(3),Open,138 / 140,Rich Nguyen
16070,001,Lecture(3),Open,138 / 140,Rich Nguyen
19558,002,Lecture(3),Open,271 / 290,Derrick Stone
,15473,001,Lecture(3),Open,98 / 100
15473,001,Lecture(3),Open,98 / 100,Seongkook Heo
15473,001,Lecture(3),Open,98 / 100,Seongkook Heo
,15319,001,Lecture(3),Open,141 / 150
15319,001,Lecture(3),Open,141 / 150,Mark Sherriff
15319,001,Lecture(3),Open,141 / 150,Mark Sherriff
15644,002,Lecture(3),Open,146 / 150,Derrick Stone
14982,101,Laboratory(0),Open,287 / 300,Mark Sherriff
,20539,001,Lecture(3),Open,70 / 75
20539,001,Lecture(3),Open,70 / 75,Wenxi Wang
20539,001,Lecture(3),Open,70 / 75,Wenxi Wang
