ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10303,AAS,1010,100,Lecture,"4","Kevin Gaines","TuTh 12:30pm - 1:45pm","Minor Hall 125","Introduction to African-American and African Studies I","",Open,199,200,0
19036,AAS,1010,101,Discussion,"0","Kevin Gaines","Th 11:00am - 11:50am","New Cabell Hall 268","Introduction to African-American and African Studies I","",Closed,20,20,0
10306,AAS,1010,102,Discussion,"0","Elizabeth Narvaez","We 5:00pm - 5:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Open,19,20,0
10304,AAS,1010,103,Discussion,"0","Dana Moyer","Tu 7:00pm - 7:50pm","New Cabell Hall 211","Introduction to African-American and African Studies I","",Closed,20,20,0
10305,AAS,1010,104,Discussion,"0","Dana Moyer","Tu 8:00pm - 8:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
10307,AAS,1010,105,Discussion,"0","Elizabeth Narvaez","We 6:00pm - 6:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
10308,AAS,1010,106,Discussion,"0","Elizabeth Narvaez","We 7:00pm - 7:50pm","Wilson Hall 244","Introduction to African-American and African Studies I","",Closed,20,20,0
12632,AAS,1010,107,Discussion,"0","Dana Moyer","Tu 6:00pm - 6:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
12633,AAS,1010,108,Discussion,"0","Karla Gonzalez","Tu 5:00pm - 5:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
12634,AAS,1010,109,Discussion,"0","Karla Gonzalez","We 4:00pm - 4:50pm","New Cabell Hall 187","Introduction to African-American and African Studies I","",Closed,20,20,0
12685,AAS,1010,110,Discussion,"0","Karla Gonzalez","Tu 7:00pm - 7:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
12150,AAS,2224,001,SEM,"3","Lisa Shutt","Tu 2:00pm - 4:30pm","New Cabell Hall 415","Black Femininities and Masculinities in the US Media","",Closed,18,18,0
19001,AAS,2224,002,SEM,"3","Lisa Shutt","We 2:00pm - 4:30pm","New Cabell Hall 291","Black Femininities and Masculinities in the US Media","",Closed,18,18,0
19010,AAS,2500,001,SEM,"3","Sabrina Pendergrass","TuTh 11:00am - 12:15pm","New Cabell Hall 066","Topics Course in Africana Studies","The Souls of Black Folk",Closed,15,15,0
19013,AAS,2500,002,SEM,"3","Anne Rotich","MoWeFr 1:00pm - 1:50pm","The Rotunda Room 150","Topics Course in Africana Studies","Introduction to African Languages and Literatures",Closed,25,25,0
19015,AAS,2500,003,SEM,"3","Liana Richardson","TuTh 11:00am - 12:15pm","New Cabell Hall 395","Topics Course in Africana Studies","Race, Class & Gender",Closed,25,25,0
19009,AAS,2657,001,SEM,"3","Njelle Hamilton","TuTh 3:30pm - 4:45pm","New Cabell Hall 364","Routes, Writing, Reggae","",Open,23,24,0
13992,AAS,3500,002,SEM,"3","Liana Richardson","TuTh 9:30am - 10:45am","New Cabell Hall 407","Intermediate Seminar in African-American & African Studies","Race, Ethnicity, and Health in the US",Open,16,18,0
12800,AAS,3500,003,SEM,"3","Kimberly Fields","We 3:30pm - 6:00pm","New Cabell Hall 383","Intermediate Seminar in African-American & African Studies","Race, Class, Politics & the Environoment",Open,17,20,0
20991,AAS,3559,001,SEM,"3","Ashleigh Wade","MoWe 3:30pm - 4:45pm","Gibson Hall 141","New Course in African and African American Studies","Reading Black Digital Culture",Open,23,30,0
