ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10134,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFrSa 10:00am - 3:30pm","Web-Based Course","Black Femininities and Masculinities in the US Media","",Open,8,12,0
10162,ARTH,2052,001,Lecture,"3","Anastasia Dakouri-Hild","MoTuWeThFrSa 10:00am - 2:00pm","Web-Based Course","Ancient Egypt","",Open,6,20,0
10106,ARTS,2560,001,STO,"3","Akemi Ohira","MoTuWeThFrSa 10:00am - 3:30pm","Ruffin Hall 220","Special Topics in Printmaking: Works On/Of Paper","Works On Paper",Open,11,15,0
10126,ARTS,2610,001,STO,"3","Maria Villanueva","MoTuWeThFrSa 9:30am - 3:00pm","Ruffin Hall 203","Drawing I","",Open,7,16,0
10144,BIOL,4559,001,Lecture,"3","Antoine Perrier","MoTuWeThFrSa 10:00am - 3:30pm","Chemistry Bldg 206","New Course in Biology","Plants and Global Warming",Open,9,15,0
10119,BIOL,4585,001,SEM,"3","Benedict Lenhart","MoTuWeThFrSa 10:00am - 3:30pm","Gilmer Hall 257","Selected Topics in Biology","Genetics of Metabolic Health",Open,18,20,0
10153,BME,6550,001,Lecture,"2","Lloyd McMahon","MoTuWeThFrSa 10:30am - 12:00pm","Contact Department","Special Topics in Biomedical Engineering","Biomedical Design Practices",Open,13,17,0
10156,CS,4993,001,IND,"1","Matthew Dwyer","TBA","TBA","Independent Study","",Closed,1,0,0
10125,DS,4002,001,Lecture,"3","Brian Wright","MoTuWeThFrSa 10:00am - 3:30pm","Web-Based Course","Data Science Project","",Open,18,25,0
10105,ENCW,4830,001,WKS,"3","Lisa Spaar","MoTuWeThFrSa 10:00am - 4:00pm","Bryan Hall 310","Advanced Poetry Writing I","",Open,8,12,0
10128,ENGL,3559,001,Lecture,"3","Cristina Griffin","MoTuWeThFrSa 10:00am - 3:30pm","Bryan Hall 312","New Course in English Literature","A History of Romance",Open,10,15,0
10123,ENWR,3500,001,SEM,"3","Rhiannon Goad","MoTuWeThFrSa 10:00am - 3:30pm","Bryan Hall 328","Topics in Advanced Writing & Rhetoric","Rhetoric of Documentary Films",Open,9,20,0
10143,ENWR,3559,001,SEM,"3","Stephen Parks, Srda Popovic","MoTuWeThFrSa 10:00am - 3:45pm","Web-Based Course","New Course in Writing and Rhetoric","Rebuilding (and Expanding) Democracy",Open,13,15,0
10139,EVSC,2850,001,Lecture,"3","Lauren Simkins","MoTuWeThFrSa 10:00am - 3:30pm","Chemistry Bldg 204","Polar Environments","",Open,14,20,0
10145,EVSC,4050,001,Lecture,"3","Stephen Macko","MoTuWeThFrSa 10:00am - 3:30pm","Clark Hall G004","Topics in Oceanography","",Open,7,20,0
10159,EVSC,5050,001,Lecture,"3","Stephen Macko","MoTuWeThFrSa 10:00am - 3:30pm","Clark Hall G004","Advanced Oceanography","",Open,7,20,0
10021,GBUS,7900,001,Lecture,"1.5","Jim Collins, Gopika Spaenle, Jennifer Windus","Sa 9:00am - 12:00pm","TBA","Professional Advancement Course","",Open,72,100,0
10022,GBUS,7900,002,Lecture,"1.5","Jim Collins, Gopika Spaenle, Jennifer Windus","Sa 9:00am - 12:30pm","TBA","Professional Advancement Course","",Closed,114,100,0
10020,GBUS,8015,001,Lecture,"1.5","Manuel Baucells","ThFr 6:00pm - 8:45pm","Web-Based Course","Behavioral Decision Making","",Open,59,150,0
10019,GBUS,8052,001,Lecture,"1.5","Kim Whitler","MoTuWeThFr 4:00pm - 6:45pm","Sands Captl Mgmt Bldg Rm 3140","Marketing Leadership","",Open,66,72,0
10017,GBUS,8058,001,Lecture,"1.5","Ming-Jer Chen, Varshik Nimmagadda","MoTuWeThFr 8:00am - 5:00pm","Darden Classroom Bldg Room I-L","Disruption, Response, and Transformation","",Open,19,120,0
10018,GBUS,8391,001,Lecture,"1.5","TBA","TBA","TBA","Strategic Costing","",Open,0,120,0
10016,GBUS,8500,001,Lecture,"1.5 - 3","Scott Beardsley, R. Marc Johnson","MoTuWeThFr 8:00am - 5:00pm","Darden Classroom Bldg 120","Special Topics Seminar","The CEO in the 21st Century",Open,63,73,0
