ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10001,AAS,1020,100,Lecture,"4","Ashon Crawley","TuTh 12:30pm - 1:45pm","Nau Hall 101","Introduction to African-American and African Studies II","",Closed,180,180,0
10006,AAS,1020,101,Discussion,"0","Emma Williams","Tu 6:00pm - 6:50pm","New Cabell Hall 415","Introduction to African-American and African Studies II","",Closed,20,20,0
10005,AAS,1020,102,Discussion,"0","Dana Moyer","Tu 5:00pm - 5:50pm","New Cabell Hall 332","Introduction to African-American and African Studies II","",Closed,20,20,0
10004,AAS,1020,103,Discussion,"0","Karla Gonzalez","We 5:00pm - 5:50pm","New Cabell Hall 485","Introduction to African-American and African Studies II","",Closed,20,20,0
10003,AAS,1020,104,Discussion,"0","Karla Gonzalez","We 7:00pm - 7:50pm","John W. Warner Hall 113","Introduction to African-American and African Studies II","",Closed,20,20,0
10007,AAS,1020,105,Discussion,"0","Dana Moyer","Tu 7:00pm - 7:50pm","New Cabell Hall 411","Introduction to African-American and African Studies II","",Closed,20,20,0
10002,AAS,1020,106,Discussion,"0","Karla Gonzalez","We 6:00pm - 6:50pm","New Cabell Hall 485","Introduction to African-American and African Studies II","",Closed,20,20,0
12098,AAS,1020,107,Discussion,"0","Emma Williams","Tu 4:00pm - 4:50pm","New Cabell Hall 032","Introduction to African-American and African Studies II","",Closed,20,20,0
12099,AAS,1020,108,Discussion,"0","Emma Williams","Tu 5:00pm - 5:50pm","New Cabell Hall 032","Introduction to African-American and African Studies II","",Closed,20,20,0
12100,AAS,1020,109,Discussion,"0","Dana Moyer","Tu 6:00pm - 6:50pm","New Cabell Hall 411","Introduction to African-American and African Studies II","",Closed,20,20,0
11527,AAS,2224,002,SEM,"3","Lisa Shutt","We 2:00pm - 4:30pm","New Cabell Hall 395","Black Femininities and Masculinities in the US Media","",Closed,19,18,0
13840,AAS,2500,001,SEM,"3","Anne Rotich","MoWeFr 1:00pm - 1:50pm","Clemons Library 320","Topics Course in Africana Studies","Swahili Cultures & Stories",Closed,18,18,0
13734,AAS,2500,002,SEM,"3","Kimberly Fields","We 3:30pm - 6:00pm","New Cabell Hall 489","Topics Course in Africana Studies","Introduction to Race, Class & the Environment",Open,28,30,0
19282,AAS,2500,003,SEM,"3","Liana Richardson","TuTh 9:30am - 10:45am","New Cabell Hall 303","Topics Course in Africana Studies","Race, Class & Gender",Closed,21,21,0
19570,AAS,2559,001,Lecture,"3","Ashleigh Wade","TuTh 9:30am - 10:45am","New Cabell Hall 338","New Course in African and African American Studies","Black Girlhood & the Media",Closed,30,30,0
12786,AAS,3300,001,SEM,"3","Sabrina Pendergrass","TuTh 2:00pm - 3:15pm","New Cabell Hall 183","Social Science Perspectives on African American and African Studies","",Open,15,16,0
13732,AAS,3500,001,SEM,"3","Liana Richardson","TuTh 11:00am - 12:15pm","New Cabell Hall 415","Intermediate Seminar in African-American & African Studies","Race & Medicine in Post-19th Century America",Closed,17,16,0
19320,AAS,3500,002,SEM,"3","Kimberly Fields","We 6:30pm - 9:00pm","New Cabell Hall 332","Intermediate Seminar in African-American & African Studies","Environmental Justice Across the Globe",Open,18,20,0
20175,AAS,3500,003,SEM,"3","Amber Henry","Tu 2:00pm - 4:30pm","New Cabell Hall 383","Intermediate Seminar in African-American & African Studies","Traveling While Black: Tourism in Africa&Diaspora",Open,12,30,0
20561,AAS,3559,001,SEM,"3","Michael Carter Jr., Lisa Shutt","Tu 2:00pm - 4:30pm","New Cabell Hall 303","New Course in African and African American Studies","Africulture: The African Roots of US Agriculture",Open,8,10,0
19283,AAS,3810,001,SEM,"3","Sabrina Pendergrass","TuTh 11:00am - 12:15pm","New Cabell Hall 036","Race, Culture and Inequality","",Open,14,15,0
19582,AAS,3853,100,Lecture,"3","Andrew Kahrl","MoWe 9:00am - 9:50am","Gilmer Hall 390","From Redlined to Subprime: Race and Real Estate in the US","",Open,116,120,0
19583,AAS,3853,101,Discussion,"0","Olivia Paschal","We 5:00pm - 5:50pm","New Cabell Hall 407","From Redlined to Subprime: Race and Real Estate in the US","",Open,19,20,0
19586,AAS,3853,102,Discussion,"0","Olivia Paschal","We 4:00pm - 4:50pm","New Cabell Hall 032","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
19587,AAS,3853,103,Discussion,"0","Olivia Paschal","We 6:00pm - 6:50pm","New Cabell Hall 287","From Redlined to Subprime: Race and Real Estate in the US","",Open,17,20,0
19588,AAS,3853,104,Discussion,"0","Gramond McPherson","Th 7:00pm - 7:50pm","New Cabell Hall 407","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
19589,AAS,3853,105,Discussion,"0","Gramond McPherson","Th 5:00pm - 5:50pm","John W. Warner Hall 110","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
19590,AAS,3853,106,Discussion,"0","Gramond McPherson","Th 6:00pm - 6:50pm","New Cabell Hall 489","From Redlined to Subprime: Race and Real Estate in the US","",Closed,20,20,0
10008,AAS,4080,001,IND,"3","Sabrina Pendergrass","TBA","TBA","Thesis","",Open,1,10,0
12911,AAS,4080,002,IND,"3","Robert Vinson","TBA","TBA","Thesis","",Open,0,10,0
13842,AAS,4080,003,IND,"3","Anne Rotich","TBA","TBA","Thesis","",Open,1,10,0
13843,AAS,4080,004,IND,"3","Kimberly Fields","TBA","TBA","Thesis","",Open,0,10,0
19287,AAS,4501,001,SEM,"4","Lisa Shutt","Th 2:00pm - 6:00pm","Pavilion V 109","Advanced Research Seminar in History & AAS","Engaging Local Histories: River View Farm",Open,3,10,0
19286,AAS,4570,002,SEM,"3","Anna Duensing","Tu 3:30pm - 6:00pm","New Cabell Hall 064","Advanced Research Seminar in African-American & African Studies","Black Reconstruction",Open,6,16,0
12938,AAS,4993,001,IND,"1 - 12","To Be Announced","TBA","TBA","Independent Study","",Open,0,30,0
13736,AAS,7000,001,SEM,"3","Nasrin Olla","Mo 3:30pm - 6:00pm","New Cabell Hall 068","Introduction to Africana Studies","",Open,7,18,0
13873,AAS,9710,001,IND,"12","Robert Vinson","TBA","TBA","Woodson Institute Fellows Pre- and Post-Doctoral Research","",Open,8,15,0
20392,ACCT,2010,701,Lecture,"3","Megan Burke, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting I","",Open,4,26,0
20393,ACCT,3010,701,Lecture,"3","Megan Burke, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting I","",Open,19,26,0
20693,ACCT,3020,701,Lecture,"3","Megan Burke, -, -","Mo 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting II","",Open,19,26,0
20892,ACCT,3120,701,Lecture,"3","Gary Brooks, -, -","We 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting II","",Open,4,26,0
21002,ACCT,3140,701,Lecture,"3","Rich Lahijani, -","Mo 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,7,26,0
20240,ACCT,4450,701,Lecture,"3","Harvey Hutchinson, -, -","We 6:30pm - 9:30pm","Web-Based Course","Federal Taxation I","",Open,2,26,0
20177,ACCT,5110,701,Lecture,"3","Leon Hutton, -, -","We 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting I","",Open,13,26,0
21003,ACCT,5140,701,Lecture,"3","Rich Lahijani, -","Mo 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,15,26,0
20178,ACCT,5250,701,Lecture,"3","Richard Evans, -, -","Th 6:30pm - 9:30pm","Web-Based Course","Advanced Auditing","",Open,7,26,0
21004,ACCT,5310,701,Lecture,"3","Dana Lee, -","Mo 6:30pm - 9:30pm","Web-Based Course","Selected Topics in Advanced Accounting","",Open,12,26,0
