ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10362,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 10:30am - 12:45pm","Minor Hall 130","Black Femininities and Masculinities in the US Media","",Open,7,15,0
12343,AAS,4005,001,SEM,"3","Scot French, Lenora McQueen","MoTuWeThFr 10:00am - 3:00pm","Contact Department","Morven's Enslaved and Descendant Communities","",Open,5,30,0
12697,AAS,4993,001,IND,"1 - 12","Lisa Shutt","MoTuWeThFr 5:00pm - 5:50pm","Contact Department","Independent Study","",Closed,1,1,0
11978,ACCT,3010,701,Lecture,"3","Dana Lee, -","Tu 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting I","",Open,17,26,0
11980,ACCT,3020,701,Lecture,"3","Rich Lahijani, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Accounting II","",Open,11,26,0
11983,ACCT,3120,701,Lecture,"3","Dana Lee, -","Mo 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting II","",Open,1,26,0
11986,ACCT,3140,701,Lecture,"3","Derek Henrichs, -","Mo 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,1,26,0
11982,ACCT,5110,701,Lecture,"3","Leon Hutton, -","We 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting I","",Open,13,26,0
11984,ACCT,5120,701,Lecture,"3","Dana Lee, -","Mo 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting II","",Open,14,26,0
11987,ACCT,5140,701,Lecture,"3","Derek Henrichs, -","Mo 6:30pm - 9:30pm","Web-Based Course","Cost Accounting","",Open,10,26,0
11988,ACCT,5210,701,Lecture,"3","Richard Evans, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Auditing","",Closed,27,26,0
11990,ACCT,5450,701,Lecture,"3","Harvey Hutchinson, -","We 6:30pm - 9:30pm","Web-Based Course","Federal Taxation I","",Open,10,26,0
11991,ACCT,5460,701,Lecture,"3","Rich Lahijani, -","Tu 6:30pm - 9:30pm","Web-Based Course","Federal Taxation II","",Open,9,26,0
11992,ACCT,5480,701,Lecture,"3","Michael Hood, -","Tu 6:30pm - 9:30pm","Web-Based Course","Corporate Governance and Ethics","",Open,10,26,0
11993,ACCT,5490,701,Lecture,"3","Gary Brooks, -, -","We 6:30pm - 9:30pm","Web-Based Course","Cybersecurity for Accounting","",Open,8,26,0
11994,ACCT,5710,701,Lecture,"3","NICHOLAS GRANADO, -","We 6:30pm - 9:30pm","Web-Based Course","Business Law","",Open,12,26,0
10656,ALAR,5010,001,Lecture,"1","Bradley Cantrell, Lauren McQuistion, Jeana Ripple, William Shivers, Katie Stranix, Jess Vanecek","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 158","Introduction to Design","",Open,39,50,0
10654,ALAR,5020,001,Lecture,"1","Bradley Cantrell, Lauren McQuistion, Jeana Ripple, William Shivers, Katie Stranix, Jess Vanecek","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 401","Introduction to Design Visualization","",Open,39,50,0
