ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10001,AAS,1010,100,Lecture,"4","Nemata Blyden","TuTh 12:30pm - 1:45pm","John W. Warner Hall 209","Introduction to African-American and African Studies I","",Open,173,180,0
13168,AAS,1010,101,Discussion,"0","Shelly Penton","We 6:00pm - 6:50pm","Ridley Hall 139","Introduction to African-American and African Studies I","",Open,18,20,0
10004,AAS,1010,102,Discussion,"0","Addison Wilner","We 5:00pm - 5:50pm","New Cabell Hall 211","Introduction to African-American and African Studies I","",Closed,20,20,0
10002,AAS,1010,103,Discussion,"0","Elliott Niblock","Tu 7:00pm - 7:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Open,19,20,0
10003,AAS,1010,104,Discussion,"0","Elliott Niblock","Tu 8:00pm - 8:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
10005,AAS,1010,105,Discussion,"0","Addison Wilner","We 6:00pm - 6:50pm","New Cabell Hall 411","Introduction to African-American and African Studies I","",Closed,20,20,0
10006,AAS,1010,106,Discussion,"0","Addison Wilner","We 7:00pm - 7:50pm","New Cabell Hall 107","Introduction to African-American and African Studies I","",Closed,20,20,0
11886,AAS,1010,107,Discussion,"0","Elliott Niblock","Tu 6:00pm - 6:50pm","New Cabell Hall 415","Introduction to African-American and African Studies I","",Open,17,20,0
11887,AAS,1010,108,Discussion,"0","Shelly Penton","Tu 5:00pm - 5:50pm","New Cabell Hall 191","Introduction to African-American and African Studies I","",Open,19,20,0
11888,AAS,1010,109,Discussion,"0","Shelly Penton","We 7:00pm - 7:50pm","Ridley Hall 139","Introduction to African-American and African Studies I","",Closed,20,20,0
20400,AAS,1559,001,SEM,"3","Noe Rajerison","MoWe 3:05pm - 4:20pm","Web-Based Course","New Course in African and African American Studies","Introductory Malagasy Language I",Closed,8,8,0
14157,AAS,2500,001,SEM,"3","Micah Jones","Tu 2:00pm - 4:30pm","New Cabell Hall 411","Topics Course in Africana Studies","Shopping While Black",Open,11,18,0
13166,AAS,2500,002,SEM,"3","FATIMA SIWAJU","TuTh 9:30am - 10:45am","New Cabell Hall 064","Topics Course in Africana Studies","Introduction to Afro-Latin America",Open,13,18,0
14158,AAS,2500,003,SEM,"3","Alexandria Smith","TuTh 9:30am - 10:45am","New Cabell Hall 395","Topics Course in Africana Studies","Black Genders",Open,6,20,0
13165,AAS,2500,004,SEM,"3","Ashleigh Wade","We 5:00pm - 7:30pm","New Cabell Hall 132","Topics Course in Africana Studies","Black Love: Media Representations vs Realities",Closed,30,30,0
