ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10254,AAS,1020,100,Lecture,"4","Ashon Crawley","TuTh 12:30pm - 1:45pm","Web-Based Course","Introduction to African-American and African Studies II","",Open,158,160,0
10259,AAS,1020,101,Discussion,"0","Ryan Russell","Tu 6:00pm - 6:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Closed,20,20,0
10258,AAS,1020,102,Discussion,"0","Jacqueline Sahagian","Tu 5:00pm - 5:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Closed,20,20,0
10257,AAS,1020,103,Discussion,"0","Jason Evans","We 5:00pm - 5:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Closed,20,20,0
10256,AAS,1020,104,Discussion,"0","Jean Herald Legagneur","We 7:00pm - 7:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Open,18,20,0
10255,AAS,1020,106,Discussion,"0","Jason Evans","We 6:00pm - 6:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Closed,20,20,0
12782,AAS,1020,107,Discussion,"0","Jacqueline Sahagian","Tu 4:00pm - 4:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Closed,20,20,0
12783,AAS,1020,108,Discussion,"0","Ryan Russell","Tu 5:00pm - 5:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Open,19,20,0
12784,AAS,1020,109,Discussion,"0","Jean Herald Legagneur","Tu 6:00pm - 6:50pm","Web-Based Course","Introduction to African-American and African Studies II","",Closed,20,20,0
11778,AAS,2224,001,SEM,"3","Lisa Shutt","Tu 2:00pm - 4:30pm","Web-Based Course","Black Femininities and Masculinities in the US Media","",Closed,18,18,0
11971,AAS,2224,002,SEM,"3","Lisa Shutt","We 2:00pm - 4:30pm","Web-Based Course","Black Femininities and Masculinities in the US Media","",Open,17,18,0
19388,AAS,2559,001,SEM,"3","Kimberly Fields","We 3:30pm - 6:00pm","Web-Based Course","New Course in African and African American Studies","Intro to Race, Class, Politics & the Environment",Open,15,20,0
19389,AAS,2559,002,SEM,"3","Sabrina Pendergrass","TBA","TBA","New Course in African and African American Studies","The Souls of Black Folk",Closed,15,15,0
19393,AAS,2740,001,SEM,"3","Lisa Shutt","Th 2:00pm - 4:30pm","Web-Based Course","Peoples and Cultures of Africa","",Open,15,16,0
13367,AAS,3500,001,SEM,"3","Kimberly Fields","We 6:00pm - 8:30pm","Web-Based Course","Intermediate Seminar in African-American & African Studies","Race, Law & the American Constitution",Open,9,10,0
12785,AAS,3500,002,SEM,"3","Brian Smithson","TuTh 9:30am - 10:45am","Web-Based Course","Intermediate Seminar in African-American & African Studies","Seeing Race",Open,14,15,0
14256,AAS,3500,003,SEM,"3","Pamela Reynolds","We 3:30pm - 6:00pm","Web-Based Course","Intermediate Seminar in African-American & African Studies","African American Health Professionals",Open,8,15,0
19397,AAS,3500,004,SEM,"3","Janee Moses","TuTh 12:30pm - 1:45pm","Web-Based Course","Intermediate Seminar in African-American & African Studies","From Blues Women to Black Feminists",Closed,20,20,0
19399,AAS,3500,005,SEM,"3","Marlene L. Daut","We 2:00pm - 4:30pm","Web-Based Course","Intermediate Seminar in African-American & African Studies","Caribbean Cultural & Literary Studies",Open,5,30,0
19402,AAS,3500,006,SEM,"3","James Parker","Tu 3:30pm - 6:00pm","Web-Based Course","Intermediate Seminar in African-American & African Studies","Development and the Environment in Modern Africa",Open,9,20,0
