ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10682,AAS,2224,001,SEM,"3","Lisa Shutt","MoTuWeThFr 1:00pm - 3:15pm","New Cabell Hall 411","Black Femininities and Masculinities in the US Media","",Open,2,18,0
11988,AAS,2500,001,SEM,"3","FATIMA SIWAJU","Sa 10:30am - 12:45pm","Web-Based Course","Topics Course in Africana Studies","Black Perspectives in Print",Open,5,18,0
11989,AAS,2559,001,Lecture,"3","Naseemah Mohamed","MoTuWeThFr 10:30am - 12:45pm","Web-Based Course","New Course in African and African American Studies","Afr.Liberation-Cartoons&Cinema",Open,9,18,0
10782,AAS,2760,001,SEM,"3","Anne Rotich","MoTuWeThFr 10:30am - 12:45pm","New Cabell Hall 407","Empowered Women of Africa","",Open,0,10,0
10853,AAS,4993,001,IND,"1 - 12","Anne Rotich","TBA","TBA","Independent Study","",Open,0,3,0
12349,ACCT,3010,701,Lecture,"3","Nammy Lee, -, -, -","Mo 6:30pm - 9:30pm","Web-Based Course","Introductory Financial Accounting","",Open,9,24,0
12350,ACCT,3020,701,Lecture,"3","Rich Lahijani, -, -, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Managerial Accounting","",Open,11,24,0
12351,ACCT,5110,701,Lecture,"3","Leon Hutton, -, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting I","",Open,8,24,0
12370,ACCT,5120,701,Lecture,"3","Gary Brooks, -, -","Mo 6:30pm - 9:30pm","Web-Based Course","Intermediate Accounting II","",Open,13,24,0
12352,ACCT,5200,701,Lecture,"3","Richard Evans, -, -, -","We 6:30pm - 9:30pm","Web-Based Course","Introduction to Accounting Information Systems","",Open,6,24,0
12353,ACCT,5210,701,Lecture,"3","Richard Evans, -, -, -","Th 6:30pm - 9:30pm","Web-Based Course","Introductory Auditing","",Open,15,24,0
12354,ACCT,5450,701,Lecture,"3","Harvey Hutchinson, -, -, -","We 6:30pm - 9:30pm","Web-Based Course","Introduction to Taxation","",Open,10,24,0
12445,ACCT,5460,701,Lecture,"3","Travis Bartee, -, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","Entity Tax Compliance and Planning","",Open,3,24,0
12355,ACCT,5480,701,Lecture,"3","Michael Hood, -, -, -","Tu 6:30pm - 9:30pm","Web-Based Course","Corporate Governance and Ethics","",Open,12,24,0
12448,ACCT,5710,701,Lecture,"3","Travis Bartee, -, -, -","Mo 6:30pm - 9:30pm","Web-Based Course","Business Law","",Open,12,24,0
10004,ALAR,5010,001,Lecture,"1","Bradley Cantrell, Jeana Ripple","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 153","Introduction to Design","",Open,0,50,0
10002,ALAR,5020,001,Lecture,"1","Bradley Cantrell, Jeana Ripple","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 401","Introduction to Design Visualization","",Open,0,50,0
10003,ALAR,5030,001,Lecture,"1","Bradley Cantrell, Jeana Ripple","MoTuWeThFr 8:30am - 6:00pm","Campbell Hall 401","Introduction to Design Theory and Analysis","",Open,0,50,0
11991,AMST,2001,001,Lecture,"3","Fiona Ngo, Jack Hamilton","MoTuWeThFr 10:30am - 12:45pm","Wilson Hall 238","Introduction to American Studies","",Open,3,30,0
12385,AMST,4601,001,Lecture,"3","Ruby Tapia","MoTuWeThFr 1:00pm - 3:15pm","Web-Based Course","Gender, Race, and the Prison","",Open,9,20,0
